parameter,value,replicate,seed,actual_metro_migration,actual_periph_migration,metro_m_freq,periph_m_freq,overall_m_freq,metro_c_freq,periph_c_freq,ideal_coexistence,acceptable_coexistence,segregation_strength,fst_weighted,shannon_diversity,metro_within_fst,periph_within_fst
decay_length,15,0,42,0.07,0.02,0.829742857,0.276815385,0.47034,0.170257143,0.723184615,TRUE,TRUE,0.552927473,0.314088226,0.621039883,0.018108196,0.11212649
decay_length,15,1,43,0.07,0.02,0.813628571,0.310107692,0.48634,0.186371429,0.689892308,TRUE,TRUE,0.503520879,0.263506503,0.800903989,0.043900873,0.162373447
decay_length,15,2,44,0.07,0.02,0.806342857,0.285692308,0.46792,0.193657143,0.714307692,TRUE,TRUE,0.520650549,0.318543747,0.520462149,0.043551609,0.116893506
decay_length,15,3,45,0.07,0.02,0.832114286,0.273015385,0.4687,0.167885714,0.726984615,TRUE,TRUE,0.559098901,0.287003162,0.764897866,0.029895471,0.145510029
decay_length,15,4,46,0.07,0.02,0.828542857,0.218384615,0.43194,0.171457143,0.781615385,FALSE,TRUE,0.610158242,0.435744546,0.435043713,0.052368101,0.176810997
decay_length,15,5,47,0.07,0.02,0.8328,0.233015385,0.44294,0.1672,0.766984615,FALSE,TRUE,0.599784615,0.405453724,0.459995071,0.038939715,0.14119178
decay_length,15,6,48,0.07,0.02,0.823257143,0.224784615,0.43425,0.176742857,0.775215385,FALSE,TRUE,0.598472527,0.318450169,0.709783073,0.062734096,0.11652861
decay_length,15,7,49,0.07,0.02,0.797628571,0.247892308,0.4403,0.202371429,0.752107692,FALSE,TRUE,0.549736264,0.360860527,0.582160567,0.056079123,0.183350236
decay_length,15,8,50,0.07,0.02,0.804257143,0.295753846,0.47373,0.195742857,0.704246154,TRUE,TRUE,0.508503297,0.305280627,0.642459291,0.031745112,0.169309406
decay_length,15,9,51,0.07,0.02,0.832657143,0.230692308,0.44138,0.167342857,0.769307692,FALSE,TRUE,0.601964835,0.40585912,0.485876751,0.04837777,0.152820559
decay_length,20,0,42,0.07,0.02,0.829457143,0.273369231,0.468,0.170542857,0.726630769,TRUE,TRUE,0.556087912,0.289539636,0.62171224,0.011741295,0.049585619
decay_length,20,1,43,0.07,0.02,0.813885714,0.315046154,0.48964,0.186114286,0.684953846,TRUE,TRUE,0.49883956,0.218228513,0.854105469,0.028192657,0.098932824
decay_length,20,2,44,0.07,0.02,0.799457143,0.283230769,0.46391,0.200542857,0.716769231,TRUE,TRUE,0.516226374,0.289896354,0.532213098,0.033126319,0.072836149
decay_length,20,3,45,0.07,0.02,0.832,0.268107692,0.46547,0.168,0.731892308,TRUE,TRUE,0.563892308,0.273877194,0.729991987,0.029557225,0.078756983
decay_length,20,4,46,0.07,0.02,0.833114286,0.224323077,0.4374,0.166885714,0.775676923,FALSE,TRUE,0.608791209,0.416298861,0.44982424,0.045259671,0.140787955
decay_length,20,5,47,0.07,0.02,0.819342857,0.233323077,0.43843,0.180657143,0.766676923,FALSE,TRUE,0.58601978,0.368513886,0.481391316,0.047213244,0.087359364
decay_length,20,6,48,0.07,0.02,0.819771429,0.239261538,0.44244,0.180228571,0.760738462,FALSE,TRUE,0.58050989,0.28390166,0.745011361,0.026285425,0.085204597
decay_length,20,7,49,0.07,0.02,0.802828571,0.263938462,0.45255,0.197171429,0.736061538,TRUE,TRUE,0.53889011,0.248360186,0.876977501,0.038113653,0.110324997
decay_length,20,8,50,0.07,0.02,0.806257143,0.300923077,0.47779,0.193742857,0.699076923,TRUE,TRUE,0.505334066,0.276369454,0.694000614,0.026185432,0.143416937
decay_length,20,9,51,0.07,0.02,0.836028571,0.25,0.45511,0.163971429,0.75,FALSE,TRUE,0.586028571,0.37976773,0.473791002,0.031896622,0.119106133
decay_length,30,0,42,0.07,0.02,0.823028571,0.271353846,0.46444,0.176971429,0.728646154,TRUE,TRUE,0.551674725,0.282241533,0.58013004,0.007886825,0.02260844
decay_length,30,1,43,0.07,0.02,0.813371429,0.3238,0.49515,0.186628571,0.6762,TRUE,TRUE,0.489571429,0.193614852,0.815573591,0.015920094,0.042978555
decay_length,30,2,44,0.07,0.02,0.810142857,0.302446154,0.48014,0.189857143,0.697553846,TRUE,TRUE,0.507696703,0.259359347,0.553152916,0.016069454,0.038160141
decay_length,30,3,45,0.07,0.02,0.826514286,0.263615385,0.46063,0.173485714,0.736384615,TRUE,TRUE,0.562898901,0.235677853,0.812122714,0.012641604,0.047051619
decay_length,30,4,46,0.07,0.02,0.827542857,0.250092308,0.4522,0.172457143,0.749907692,TRUE,TRUE,0.577450549,0.348038529,0.496208969,0.025908593,0.074325047
decay_length,30,5,47,0.07,0.02,0.828142857,0.265769231,0.4626,0.171857143,0.734230769,TRUE,TRUE,0.562373626,0.312563686,0.520583595,0.027647574,0.034504035
decay_length,30,6,48,0.07,0.02,0.823885714,0.240107692,0.44443,0.176114286,0.759892308,FALSE,TRUE,0.583778022,0.2866812,0.718962989,0.025667105,0.054669951
decay_length,30,7,49,0.07,0.02,0.785971429,0.292846154,0.46544,0.214028571,0.707153846,TRUE,TRUE,0.493125275,0.186714941,0.972494894,0.025524295,0.069755835
decay_length,30,8,50,0.07,0.02,0.760742857,0.3898,0.51963,0.239257143,0.6102,TRUE,TRUE,0.370942857,0.155418086,0.610356972,0.01490578,0.042309924
decay_length,30,9,51,0.07,0.02,0.826914286,0.246338462,0.44954,0.173085714,0.753661538,FALSE,TRUE,0.580575824,0.339137398,0.525187065,0.015076528,0.065069534
decay_length,50,0,42,0.07,0.02,0.822628571,0.279492308,0.46959,0.177371429,0.720507692,TRUE,TRUE,0.543136264,0.213278856,0.913324676,0.007449998,0.033748624
decay_length,50,1,43,0.07,0.02,0.8094,0.320015385,0.4913,0.1906,0.679984615,TRUE,TRUE,0.489384615,0.178758085,0.856307891,0.012052978,0.034283448
decay_length,50,2,44,0.07,0.02,0.815285714,0.297753846,0.47889,0.184714286,0.702246154,TRUE,TRUE,0.517531868,0.266157946,0.549300121,0.011986203,0.035726462
decay_length,50,3,45,0.07,0.02,0.83,0.268446154,0.46499,0.17,0.731553846,TRUE,TRUE,0.561553846,0.266095645,0.704551872,0.009825727,0.052309386
decay_length,50,4,46,0.07,0.02,0.838114286,0.267923077,0.46749,0.161885714,0.732076923,TRUE,TRUE,0.570191209,0.320128696,0.51636245,0.016538974,0.038779824
decay_length,50,5,47,0.07,0.02,0.826657143,0.282753846,0.47312,0.173342857,0.717246154,TRUE,TRUE,0.543903297,0.283630233,0.53914753,0.012783984,0.020936919
decay_length,50,6,48,0.07,0.02,0.780828571,0.333569231,0.49011,0.219171429,0.666430769,TRUE,TRUE,0.447259341,0.126857481,1.14467581,0.015260315,0.053491832
decay_length,50,7,49,0.07,0.02,0.804457143,0.319246154,0.48907,0.195542857,0.680753846,TRUE,TRUE,0.485210989,0.238031457,0.640797989,0.018784751,0.058559076
decay_length,50,8,50,0.07,0.02,0.797857143,0.297538462,0.47265,0.202142857,0.702461538,TRUE,TRUE,0.500318681,0.181057342,0.887857524,0.004698341,0.045100869
decay_length,50,9,51,0.07,0.02,0.835314286,0.258846154,0.46061,0.164685714,0.741153846,TRUE,TRUE,0.576468132,0.320984756,0.516693701,0.009499045,0.029583402
decay_length,100,0,42,0.07,0.02,0.829142857,0.313015385,0.49366,0.170857143,0.686984615,TRUE,TRUE,0.516127473,0.189670055,0.868136641,0.006119639,0.036044693
decay_length,100,1,43,0.07,0.02,0.821885714,0.344538462,0.51161,0.178114286,0.655461538,TRUE,TRUE,0.477347253,0.162114148,0.882191662,0.008153196,0.024870105
decay_length,100,2,44,0.07,0.02,0.8216,0.325246154,0.49897,0.1784,0.674753846,TRUE,TRUE,0.496353846,0.234577041,0.579286959,0.005464978,0.018477113
decay_length,100,3,45,0.07,0.02,0.837542857,0.270676923,0.46908,0.162457143,0.729323077,TRUE,TRUE,0.566865934,0.27680312,0.653914056,0.005254391,0.029066365
decay_length,100,4,46,0.07,0.02,0.8396,0.275584615,0.47299,0.1604,0.724415385,TRUE,TRUE,0.564015385,0.302660933,0.528447712,0.008945852,0.020436847
decay_length,100,5,47,0.07,0.02,0.831457143,0.295984615,0.4834,0.168542857,0.704015385,TRUE,TRUE,0.535472527,0.27198275,0.546335379,0.012394616,0.015368171
decay_length,100,6,48,0.07,0.02,0.830771429,0.275338462,0.46974,0.169228571,0.724661538,TRUE,TRUE,0.555432967,0.245672474,0.744792274,0.011136847,0.023767726
decay_length,100,7,49,0.07,0.02,0.8098,0.337030769,0.5025,0.1902,0.662969231,TRUE,TRUE,0.472769231,0.154839339,0.937939093,0.010933168,0.027425804
decay_length,100,8,50,0.07,0.02,0.818085714,0.326938462,0.49884,0.181914286,0.673061538,TRUE,TRUE,0.491147253,0.223641787,0.615260175,0.00506243,0.015114506
decay_length,100,9,51,0.07,0.02,0.837371429,0.283707692,0.47749,0.162628571,0.716292308,TRUE,TRUE,0.553663736,0.291896055,0.53492262,0.006062577,0.021186036
metro_migration,0.05,0,42,0.05,0.02,0.801142857,0.195738462,0.40763,0.198857143,0.804261538,FALSE,TRUE,0.605404396,0.355413249,0.496279647,0.008998601,0.022846434
metro_migration,0.05,1,43,0.05,0.02,0.788885714,0.228830769,0.42485,0.211114286,0.771169231,FALSE,TRUE,0.560054945,0.228874124,0.834698509,0.01426389,0.057517568
metro_migration,0.05,2,44,0.05,0.02,0.7766,0.209630769,0.40807,0.2234,0.790369231,FALSE,TRUE,0.566969231,0.325853329,0.502156795,0.026585333,0.036810857
metro_migration,0.05,3,45,0.05,0.02,0.806228571,0.181323077,0.40004,0.193771429,0.818676923,FALSE,TRUE,0.624905495,0.273982953,0.783623544,0.014528951,0.04766388
metro_migration,0.05,4,46,0.05,0.02,0.808514286,0.173953846,0.39605,0.191485714,0.826046154,FALSE,TRUE,0.63456044,0.412312113,0.445917495,0.025819423,0.060137967
metro_migration,0.05,5,47,0.05,0.02,0.804742857,0.177153846,0.39681,0.195257143,0.822846154,FALSE,TRUE,0.627589011,0.392725204,0.461947577,0.033970153,0.026662639
metro_migration,0.05,6,48,0.05,0.02,0.795028571,0.179015385,0.39462,0.204971429,0.820984615,FALSE,TRUE,0.616013187,0.300656445,0.711632571,0.023168814,0.038032277
metro_migration,0.05,7,49,0.05,0.02,0.766742857,0.205769231,0.40211,0.233257143,0.794230769,FALSE,TRUE,0.560973626,0.330856929,0.500003361,0.034865808,0.0558967
metro_migration,0.05,8,50,0.05,0.02,0.781028571,0.214723077,0.41293,0.218971429,0.785276923,FALSE,TRUE,0.566305495,0.319356194,0.508551272,0.013286247,0.033386254
metro_migration,0.05,9,51,0.05,0.02,0.797828571,0.174846154,0.39289,0.202171429,0.825153846,FALSE,TRUE,0.622982418,0.389002838,0.464937773,0.019797833,0.039230711
metro_migration,0.06,0,42,0.06,0.02,0.809685714,0.227307692,0.43114,0.190314286,0.772692308,FALSE,TRUE,0.582378022,0.323130544,0.529187695,0.009875577,0.019856146
metro_migration,0.06,1,43,0.06,0.02,0.797657143,0.266646154,0.4525,0.202342857,0.733353846,TRUE,TRUE,0.531010989,0.235099985,0.739078179,0.013315445,0.040693532
metro_migration,0.06,2,44,0.06,0.02,0.7988,0.259446154,0.44822,0.2012,0.740553846,TRUE,TRUE,0.539353846,0.294857254,0.529624522,0.016500823,0.046563858
metro_migration,0.06,3,45,0.06,0.02,0.822857143,0.2228,0.43282,0.177142857,0.7772,FALSE,TRUE,0.600057143,0.32766571,0.60510428,0.013063829,0.065423923
metro_migration,0.06,4,46,0.06,0.02,0.820085714,0.208307692,0.42243,0.179914286,0.791692308,FALSE,TRUE,0.611778022,0.385043489,0.469722931,0.030382711,0.067429163
metro_migration,0.06,5,47,0.06,0.02,0.817485714,0.217476923,0.42748,0.182514286,0.782523077,FALSE,TRUE,0.600008791,0.358669383,0.489138892,0.028180383,0.039840384
metro_migration,0.06,6,48,0.06,0.02,0.764,0.269738462,0.44273,0.236,0.730261538,TRUE,TRUE,0.494261538,0.244866081,0.707237966,0.041873394,0.065614448
metro_migration,0.06,7,49,0.06,0.02,0.781657143,0.251615385,0.43713,0.218342857,0.748384615,TRUE,TRUE,0.530041758,0.225331418,0.862944228,0.02216386,0.083295428
metro_migration,0.06,8,50,0.06,0.02,0.789428571,0.253276923,0.44093,0.210571429,0.746723077,TRUE,TRUE,0.536151648,0.231910265,0.864105094,0.009965678,0.10727953
metro_migration,0.06,9,51,0.06,0.02,0.811457143,0.214630769,0.42352,0.188542857,0.785369231,FALSE,TRUE,0.596826374,0.361641928,0.484264917,0.020453905,0.05625799
metro_migration,0.07,0,42,0.07,0.02,0.823028571,0.271353846,0.46444,0.176971429,0.728646154,TRUE,TRUE,0.551674725,0.282241533,0.58013004,0.007886825,0.02260844
metro_migration,0.07,1,43,0.07,0.02,0.813371429,0.3238,0.49515,0.186628571,0.6762,TRUE,TRUE,0.489571429,0.193614852,0.815573591,0.015920094,0.042978555
metro_migration,0.07,2,44,0.07,0.02,0.810142857,0.302446154,0.48014,0.189857143,0.697553846,TRUE,TRUE,0.507696703,0.259359347,0.553152916,0.016069454,0.038160141
metro_migration,0.07,3,45,0.07,0.02,0.826514286,0.263615385,0.46063,0.173485714,0.736384615,TRUE,TRUE,0.562898901,0.235677853,0.812122714,0.012641604,0.047051619
metro_migration,0.07,4,46,0.07,0.02,0.827542857,0.250092308,0.4522,0.172457143,0.749907692,TRUE,TRUE,0.577450549,0.348038529,0.496208969,0.025908593,0.074325047
metro_migration,0.07,5,47,0.07,0.02,0.828142857,0.265769231,0.4626,0.171857143,0.734230769,TRUE,TRUE,0.562373626,0.312563686,0.520583595,0.027647574,0.034504035
metro_migration,0.07,6,48,0.07,0.02,0.823885714,0.240107692,0.44443,0.176114286,0.759892308,FALSE,TRUE,0.583778022,0.2866812,0.718962989,0.025667105,0.054669951
metro_migration,0.07,7,49,0.07,0.02,0.785971429,0.292846154,0.46544,0.214028571,0.707153846,TRUE,TRUE,0.493125275,0.186714941,0.972494894,0.025524295,0.069755835
metro_migration,0.07,8,50,0.07,0.02,0.760742857,0.3898,0.51963,0.239257143,0.6102,TRUE,TRUE,0.370942857,0.155418086,0.610356972,0.01490578,0.042309924
metro_migration,0.07,9,51,0.07,0.02,0.826914286,0.246338462,0.44954,0.173085714,0.753661538,FALSE,TRUE,0.580575824,0.339137398,0.525187065,0.015076528,0.065069534
metro_migration,0.08,0,42,0.08,0.02,0.830028571,0.307338462,0.49028,0.169971429,0.692661538,TRUE,TRUE,0.52269011,0.254971847,0.618107264,0.009934828,0.030500522
metro_migration,0.08,1,43,0.08,0.02,0.819342857,0.339092308,0.50718,0.180657143,0.660907692,TRUE,TRUE,0.480250549,0.223792383,0.674185363,0.015303182,0.049804238
metro_migration,0.08,2,44,0.08,0.02,0.818057143,0.339738462,0.50715,0.181942857,0.660261538,TRUE,TRUE,0.478318681,0.239535562,0.566317254,0.013917665,0.049135435
metro_migration,0.08,3,45,0.08,0.02,0.831342857,0.297461538,0.48432,0.168657143,0.702538462,TRUE,TRUE,0.533881319,0.204367156,0.868765409,0.011692373,0.047344002
metro_migration,0.08,4,46,0.08,0.02,0.832228571,0.271753846,0.46792,0.167771429,0.728246154,TRUE,TRUE,0.560474725,0.339906803,0.502569977,0.037455685,0.088088538
metro_migration,0.08,5,47,0.08,0.02,0.842142857,0.299461538,0.4894,0.157857143,0.700538462,TRUE,TRUE,0.542681319,0.297043983,0.530730786,0.022383813,0.045370417
metro_migration,0.08,6,48,0.08,0.02,0.784714286,0.352046154,0.50348,0.215285714,0.647953846,TRUE,TRUE,0.432668132,0.145166637,1.049193943,0.022015672,0.068957897
metro_migration,0.08,7,49,0.08,0.02,0.790657143,0.321692308,0.48583,0.209342857,0.678307692,TRUE,TRUE,0.468964835,0.239146313,0.785800955,0.027040347,0.129999651
metro_migration,0.08,8,50,0.08,0.02,0.809314286,0.3516,0.5118,0.190685714,0.6484,TRUE,TRUE,0.457714286,0.209066258,0.710282768,0.013619397,0.057518169
metro_migration,0.08,9,51,0.08,0.02,0.838228571,0.282630769,0.47709,0.161771429,0.717369231,TRUE,TRUE,0.555597802,0.308292969,0.572912245,0.015619574,0.064357559
metro_migration,0.09,0,42,0.09,0.02,0.845514286,0.348092308,0.52219,0.154485714,0.651907692,TRUE,TRUE,0.497421978,0.243918086,0.563541019,0.005878151,0.029403942
metro_migration,0.09,1,43,0.09,0.02,0.829171429,0.396015385,0.54762,0.170828571,0.603984615,TRUE,TRUE,0.433156044,0.204489558,0.608057633,0.014746773,0.052084894
metro_migration,0.09,2,44,0.09,0.02,0.797085714,0.553676923,0.63887,0.202914286,0.446323077,FALSE,TRUE,0.243408791,0.11684658,0.593837787,0.025792131,0.074827434
metro_migration,0.09,3,45,0.09,0.02,0.853285714,0.345507692,0.52323,0.146714286,0.654492308,TRUE,TRUE,0.507778022,0.267065738,0.545832935,0.016316592,0.049318495
metro_migration,0.09,4,46,0.09,0.02,0.845914286,0.313276923,0.4997,0.154085714,0.686723077,TRUE,TRUE,0.532637363,0.330341999,0.507574057,0.035584871,0.117420288
metro_migration,0.09,5,47,0.09,0.02,0.848771429,0.337307692,0.51632,0.151228571,0.662692308,TRUE,TRUE,0.511463736,0.26773811,0.545858872,0.021721346,0.043872575
metro_migration,0.09,6,48,0.09,0.02,0.811942857,0.432415385,0.56525,0.188057143,0.567584615,FALSE,TRUE,0.379527473,0.143012291,1.057400767,0.024827663,0.104665656
metro_migration,0.09,7,49,0.09,0.02,0.829457143,0.366938462,0.52882,0.170542857,0.633061538,TRUE,TRUE,0.462518681,0.258423185,0.596442655,0.030336491,0.10704325
metro_migration,0.09,8,50,0.09,0.02,0.825171429,0.365138462,0.52615,0.174828571,0.634861538,TRUE,TRUE,0.460032967,0.225645773,0.60395489,0.010543973,0.055076639
metro_migration,0.09,9,51,0.09,0.02,0.841542857,0.317538462,0.50094,0.158457143,0.682461538,TRUE,TRUE,0.524004396,0.278277577,0.640194838,0.015372454,0.082171757
metro_migration,0.1,0,42,0.1,0.02,0.8504,0.4198,0.57051,0.1496,0.5802,FALSE,TRUE,0.4306,0.191022924,0.579796991,0.006474372,0.027384706
metro_migration,0.1,1,43,0.1,0.02,0.851514286,0.449338462,0.5901,0.148485714,0.550661538,FALSE,TRUE,0.402175824,0.153620906,0.834322408,0.014563795,0.053315571
metro_migration,0.1,2,44,0.1,0.02,0.8446,0.418769231,0.56781,0.1554,0.581230769,FALSE,TRUE,0.425830769,0.201746978,0.582872372,0.015030277,0.050045629
metro_migration,0.1,3,45,0.1,0.02,0.860514286,0.379523077,0.54787,0.139485714,0.620476923,TRUE,TRUE,0.480991209,0.201610706,0.794823458,0.013771422,0.053097153
